Chapter,Page(s),Type,Name,Description (EN),Description (RU),How-to/Instructions (EN),How-to/Instructions (RU)
1,15,Framework,"Yes, And","The fundamental principle of accepting and building on offers from scene partners by agreeing with information given and adding new, related information.","# Russian Translation

Фундаментальный принцип принятия и развития предложений от партнёров по сцене путём согласия с предоставленной информацией и добавления новой, связанной информации.

---

**Alternative (more concise) version:**

Фундаментальный принцип принятия и развития предложений партнёров: согласие с информацией и добавление новой релевантной информации.

---

**Key terms preserved:**
- ""принятие и развитие предложений"" (accepting and building on offers) - standard improv terminology
- ""партнёры по сцене"" (scene partners) - common phrasing in Russian improv
- ""информация"" (information) - used in Russian improv discourse as well","Accept what your scene partner says about the reality. Add new information that relates to what has already been established. Do not add information about the past, future, or people who aren't there. Make choices that add details about the present moment or the people in the scene.","Принимайте то, что говорит ваш партнёр по сцене, как установленную реальность. Добавляйте новую информацию, которая связана с уже установленным. Не добавляйте информацию о прошлом, будущем или людях, которых нет на сцене. Делайте выборы, которые добавляют детали о настоящем моменте или персонажах в сцене."
1,14,Framework,Base Reality,"The foundational world of the scene including the who, what, where, and general situation. It should be played realistically so that the first unusual thing can be identified and recognized as the beginning of the game.","# Russian Translation

Основной мир сцены, включающий персонажей (who), действие (what), место (where) и общую ситуацию. Он должен разыгрываться реалистично, чтобы первую необычную вещь можно было выявить и признать началом игры.

---

**Alternative (more concise) version:**

Базовый мир сцены, включающий персонажей, действие, место и общую ситуацию. Он должен разыгрываться реалистично, чтобы первую необычность можно было выявить и признать началом игры.

---

**Notes on terminology:**
- ""who, what, where"" (персонажи, действие, место) - these terms are commonly used in Russian improv communities with the English abbreviations or direct translations
- ""game"" (игра) - standard term in improv for the recurring pattern or unusual element
- ""realistically"" (реалистично) - commonly used in Russian improv instruction",Establish the base reality at the start of a scene through agreement with your scene partner. The base reality should not be played for laughs. Build the base reality clearly so audiences can identify when something unusual breaks from it.,"# Russian Translation

Установите базовую реальность в начале сцены, договорившись с партнёром. Базовую реальность не следует играть на смех. Строите базовую реальность ясно, чтобы зрители могли заметить, когда что-то необычное нарушает её.

---

**Alternative (slightly more polished):**

Установите базовую реальность в начале сцены через согласие с партнёром по импровизации. Базовую реальность не нужно играть на комедию. Выстраивайте базовую реальность чётко, чтобы аудитория могла определить, когда что-то необычное от неё отклоняется.

---

**Notes:**
- ""базовая реальность"" (bazovaya real'nost') is the standard term in Russian improv communities
- ""партнёр по импровизации"" specifies improv partner if needed
- Both versions preserve technical accuracy while maintaining natural Russian phrasing"
1,11,Framework,Game of the Scene,"The single specific idea that makes a scene funny - the unusual point of view, surprising behavior, absurd character, or comedic pattern that is discovered and explored throughout the scene.","# Russian Translation

Единственная конкретная идея, которая делает сцену смешной — необычная точка зрения, неожиданное поведение, абсурдный персонаж или комедийный паттерн, который открывается и исследуется на протяжении всей сцены.

---

**Alternative (more concise):**

Единая конкретная идея, которая делает сцену смешной — необычный взгляд, неожиданное поведение, абсурдный персонаж или комедийный паттерн, открываемый и развиваемый в течение сцены.

**Note:** Both versions preserve the technical improv terminology commonly used in Russian improv communities (паттерн/pattern, персонаж/character). The first translation is more literal to the original structure, while the second is slightly more idiomatic in Russian while maintaining accuracy.","Find the game by identifying the first unusual thing that breaks from the established base reality. Once identified, continually ask 'If this unusual thing is true, then what else is true?' to explore and heighten the game.","# Russian Translation

Найдите игру, определив первую необычную вещь, которая нарушает установленную базовую реальность. Один раз определив это, постоянно задавайте вопрос «Если эта необычная вещь правда, то что ещё правда?» чтобы исследовать и усиливать игру.

---

**Alternative version (slightly more natural flow):**

Найдите игру, выявив первую необычную деталь, которая нарушает установленную базовую реальность. После того как вы её определили, постоянно спрашивайте себя: «Если это необычное правда, то что ещё должно быть правдой?» — чтобы исследовать и развивать игру.

---

**Notes on terminology:**
- ""игра"" (igra) = the game/the pattern
- ""базовую реальность"" (bazovuyu real'nost') = base reality
- ""усиливать игру"" (usilivat' igru) = heighten/escalate the game (common in improv communities)
- ""выявить"" (vyyavit') = to identify/reveal (slightly more natural than ""определить"" for this context)"
1,11,Framework,If Then,"A principle for discovering and playing the game of the scene by asking 'If this unusual thing is true, then what else is true?' to generate comedic content.","# Russian Translation

Принцип для обнаружения и разыгрывания игры сцены путём вопроса «Если это необычное действие/событие правда, то что ещё должно быть правдой?» для создания комического контента.

---

**Alternative (more concise version):**

Принцип обнаружения и разыгрывания игры сцены через вопрос «Если это необычное действие правда, то что ещё правда?» для генерации комического контента.

---

**Notes:**
- ""Необычное действие/событие"" = ""unusual thing/action/event"" (adaptable based on context)
- ""Игра сцены"" = ""game of the scene"" (common term in Russian improv)
- ""Что ещё должно быть правдой"" maintains the logical consequence structure of the original principle","Once you identify the first unusual thing, continually ask yourself 'If this unusual thing is true, then what else is true?' Use the answers to explore and heighten the game of the scene.","# Russian Translation

Как только вы определите первую необычную вещь, постоянно спрашивайте себя: «Если эта необычная вещь правда, то что ещё правда?» Используйте ответы, чтобы исследовать и развивать игру сцены.

---

**Alternative version (slightly more natural for improv context):**

Когда вы выявите первый необычный элемент, постоянно задавайте себе вопрос: «Если это необычное правда, то что ещё должно быть правдой?» Используйте полученные ответы для развития и усиления игры сцены.

---

**Notes on terminology:**
- ""необычная вещь"" / ""необычный элемент"" = unusual thing/element
- ""игра сцены"" = game of the scene (commonly used term in Russian improv)
- ""исследовать и развивать"" / ""развивать и усиливать"" = explore and heighten (both phrasings work in Russian improv contexts)"
1,21,Framework,"Who, What, Where","The three essential elements that establish the base reality: Who are the characters, What are they doing, and Where are they. These must be agreed upon before finding the first unusual thing.","# Russian Translation

Три основных элемента, которые устанавливают базовую реальность: Кто персонажи, Что они делают и Где они находятся. Они должны быть согласованы перед тем, как найти первую необычную вещь.

---

**Alternative (slightly more natural):**

Три ключевых элемента, определяющих базовую реальность: Кто персонажи, Что они делают и Где происходит действие. Эти элементы должны быть согласованы до того, как вы начнёте искать первый необычный момент.

---

**Notes:**
- ""базовая реальность"" (base reality) is standard terminology in Russian improv communities
- Both versions preserve the technical framework structure
- The second version is slightly more conversational while maintaining accuracy","Establish all three elements as quickly as possible at the start of a scene using statements rather than questions. Be clear, specific, and personal. These can be established through verbal or physical choices, or a combination of both.","# Russian Translation:

Установите все три элемента как можно быстрее в начале сцены, используя утверждения вместо вопросов. Будьте ясны, конкретны и личны. Эти элементы можно установить через вербальные или физические выборы, или их комбинацию.

---

**Alternative (slightly more natural phrasing):**

Установите все три элемента как можно быстрее в начале сцены с помощью утверждений, а не вопросов. Будьте чёткими, конкретными и персональными. Эти элементы можно установить через словесные или физические выборы, либо их комбинацию.

---

**Note:** ""выборы"" (vybory) is the commonly used term in Russian improv communities for ""choices."" Technical terms like ""Who, What, Where"" are typically kept in English or transliterated in Russian improv contexts, but the description translates naturally as shown above."
1,11,Framework,First Unusual Thing,The moment when something breaks from the expected patterns of the established base reality. This marks the beginning of the game and the comedic content of the scene.,"# Russian Translation

Момент, когда что-то нарушает ожидаемые паттерны установленной базовой реальности. Это отмечает начало игры и комического содержания сцены.

---

**Alternative version (more colloquial for improv communities):**

Момент, когда что-то выходит из ожидаемых паттернов установленной базовой реальности. Это знаменует начало игры и комического наполнения сцены.

---

**Key terms used:**
- **Паттерны** (patterns) - commonly used in Russian improv terminology
- **Базовая реальность** (base reality) - standard term in Russian improv
- **Игра** (game) - refers to the improv game/premise
- **Сцена** (scene) - standard theatrical term",Identify when a character or situation breaks from what has been established as normal in the base reality. This unusual thing becomes the starting point for exploring the game of the scene.,"# Russian Translation

Определите, когда персонаж или ситуация отклоняются от того, что было установлено как норма в базовой реальности. Эта необычная вещь становится отправной точкой для исследования игры сцены.

---

**Alternative, slightly more natural phrasing:**

Найдите момент, когда персонаж или ситуация нарушают то, что было установлено как норма в базовой реальности. Эта необычность становится отправной точкой для исследования игры сцены.

---

Both versions preserve the technical improv terminology while maintaining natural Russian phrasing. The key terms like ""базовая реальность"" (base reality) and ""игра сцены"" (game of the scene) are standard in Russian improv communities."
1,18,Framework,Agreement,"The principle that two improvisers must come to basic agreement about the physical, emotional, and contextual elements of the scene before building comedy.","# Russian Translation

Принцип, согласно которому два импровизатора должны достичь базового согласия относительно физических, эмоциональных и контекстуальных элементов сцены перед построением комедии.

---

**Alternative version (more concise):**

Принцип, при котором два импровизатора должны прийти к базовому согласию о физических, эмоциональных и контекстуальных элементах сцены, прежде чем строить комедию.

---

**Notes:**
- ""базовое согласие"" (basic agreement) is a natural rendering in Russian
- ""импровизаторы"" is the standard term in Russian improv communities
- Both versions maintain technical accuracy while sounding natural in Russian","From the moment you enter the stage, acknowledge and match or complement your scene partner's physical choices about the character of the space. Agree on the environment, emotional state, and activity before adding new information.","# Russian Translation

С момента, когда вы выходите на сцену, признавайте и повторяйте или дополняйте физические выборы вашего партнера по сцене о характере пространства. Согласуйте окружение, эмоциональное состояние и деятельность, прежде чем добавлять новую информацию.

---

**Alternative version (slightly more natural for improv context):**

Как только вы выходите на сцену, признавайте и либо повторяйте, либо дополняйте физические выборы вашего партнера по импровизации относительно характера пространства. Согласуйте окружение, эмоциональное состояние и действие, прежде чем добавлять новую информацию."
1,17,Framework,Character of the Space,The physical and emotional environment of the scene established through the performers' physical choices and actions before or as dialogue begins.,"# Russian Translation

Физическая и эмоциональная среда сцены, устанавливаемая через физические выборы и действия исполнителей до начала диалога или одновременно с ним.

---

**Alternative (more concise) version:**

Физическое и эмоциональное окружение сцены, создаваемое через физические выборы и действия актёров до или во время начала диалога.

---

**Notes:**
- ""Физические выборы"" (physical choices) is the standard term used in Russian improv communities
- Both translations preserve the technical terminology while maintaining natural Russian phrasing
- The second version is slightly more concise while retaining all essential meaning","Acknowledge your scene partner's physical choice about the space (such as shivering for cold, fanning face for heat, hunching for being in a cave). Mirror or complement this choice to show agreement about the environmental condition.","# Russian Translation

Признайте физический выбор вашего партнера по сцене, касающийся пространства (например, дрожание от холода, размахивание рукой от жары, сутулость при нахождении в пещере). Отразите или дополните этот выбор, чтобы показать согласие с условиями окружающей среды.

---

**Alternative, slightly more natural version:**

Признавайте физический выбор вашего партнёра по импровизации относительно характера пространства (например, дрожание при холоде, обмахивание лица при жаре, сгорбленная осанка в пещере). Отражайте или дополняйте этот выбор, демонстрируя согласие с условиями окружающей среды.

---

**Notes:**
- ""партнер/партнёр по сцене"" or ""партнер по импровизации"" both work for scene partner
- ""признавайте"" (imperative form) keeps the instructional tone
- ""физический выбор"" is standard in Russian improv terminology
- ""окружающая среда"" is the natural term for environmental conditions"
1,25,Framework,"Show, Don't Tell",The principle of establishing scene information through physical action and non-verbal cues rather than exposition or verbal explanation.,"# Russian Translation

Принцип установления информации сцены через физическое действие и невербальные сигналы вместо экспозиции или вербального объяснения.

---

**Alternative, more concise version:**

Принцип установления сценической информации посредством физического действия и невербальных знаков, а не через экспозицию или словесное объяснение.

---

**Notes on terminology:**
- **сценическая информация** (or **информация сцены**) = scene information
- **физическое действие** = physical action
- **невербальные сигналы/знаки** = non-verbal cues/signals
- **экспозиция** = exposition (commonly used term in Russian theatre and improv)
- **словесное объяснение** = verbal explanation

Both versions are accurate; the first is slightly more literal, the second more flowing. Choose based on your context's preferred style.","Establish the What and Where through physical action (unloading dishes, flipping burgers, holding a steering wheel) rather than saying it. This makes scenes more visually engaging and natural. Avoid simply talking about what you are doing.","# Установите ""Что"" и ""Где"" через физическое действие (разгружаете посуду, переворачиваете бургеры, держите руль) вместо того, чтобы об этом говорить. Это делает сцены более визуально интересными и естественными. Избегайте просто рассказывать о том, что вы делаете.

---

**Alternative version (more concise):**

Определяйте ""Что"" и ""Где"" физическими действиями (разгрузка посуды, жарка бургеров, держание руля), а не словами. Это делает сцены более зрелищными и органичными. Не описывайте свои действия — показывайте их."
1,28,Framework,Object Work,"The practice of miming objects and interacting with the fictional physical environment to help establish reality, commit to the scene, and keep audiences engaged.","# Russian Translation

Практика пантомимы объектов и взаимодействия с вымышленной физической средой для установления реальности, погружения в сцену и удержания внимания зрителей.

---

**Alternative variant** (slightly more concise):

Практика воплощения объектов через пантомиму и взаимодействия с вымышленной физической средой для создания реальности, полного погружения в сцену и привлечения внимания аудитории.

---

**Note on technical terms:**
- **пантомима** = mime/miming
- **вымышленная физическая среда** = fictional physical environment
- **установления реальности** = establishing reality
- **погружение в сцену** = committing to the scene/scene commitment
- **удержание внимания** = keeping engaged/maintaining attention

Both variants preserve the meaning and flow naturally in Russian improv contexts.","Mime objects as if they have mass and weight. Handle them realistically (hold phones in your hand, not with thumb and pinky; hold guns properly, not with finger guns). Be consistent and mime all objects. Use object work to establish environment, ground yourself in character, slow down to think, and maintain visual engagement.","# Русский перевод:

Изображайте мимические объекты так, как будто они имеют массу и вес. Обращайтесь с ними реалистично (держите телефон в руке, а не большим пальцем и мизинцем; держите оружие правильно, а не делайте «пальцевые пистолеты»). Будьте последовательны и изображайте все объекты. Используйте работу с объектами, чтобы установить окружение, заземлиться в персонаже, замедлиться, чтобы подумать, и сохранять визуальный контакт.

---

**Alternative version (slightly more natural in improv context):**

Работайте с мимическими объектами так, словно они обладают массой и весом. Взаимодействуйте с ними реалистично (держите телефон в ладони, а не двумя пальцами; правильно держите оружие, без «пальцевых пистолетов»). Будьте последовательны — изображайте все предметы. Используйте предметную работу для создания среды, укоренения персонажа, замедления темпа для размышления и поддержания визуального контакта."
