unit_type,chapter_number,title,book_start,book_end,pdf_start,pdf_end
Foreword,,Foreword,4,5,5,6
Introduction,,Introduction,6,13,7,14
Chapter,1,What is a Base Reality?,14,37,15,38
Chapter,2,How to Create a Base Reality,38,63,39,64
Chapter,3,What is a Game?,64,71,65,72
Chapter,4,Finding Game,72,121,73,122
Chapter,5,Playing Game,122,163,123,164
Chapter,6,Using Character to Play Game,164,179,165,180
Chapter,7,Using Support Moves to Play Game as a Group,180,199,181,200
Chapter,8,Helpful Hints & Hazards,200,217,201,218
Chapter,9,Starting from an Audience Suggestion,218,219,219,220
Chapter,10,Openings,220,265,221,266
Chapter,11,The Harold,266,305,267,306
Chapter,12,Other Longforms,306,337,307,338
Chapter,13,Rehearsal & Performance,338,370,339,371


